Drug,Y,chembl_id
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,3200.0,CHEMBL47940
N#CC(C#N)=Cc1cc[n+]([O-])cc1,1300000.0,CHEMBL57712
COc1cc(C=C(C#N)C#N)ccc1O,200000.0,CHEMBL77869
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,1.2,CHEMBL69358
C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,200.0,CHEMBL137189
C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,39.0,CHEMBL137617
CN(C)/N=N/c1ccc2ncnc(NCc3ccccc3)c2c1,482.0,CHEMBL137027
N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(O)c1,800.0,CHEMBL78257
N#CC(C#N)=Cc1cc2c(cc1[N+](=O)[O-])OCO2,560000.0,CHEMBL76082
N#C/C(=C\c1ccccc1)C(=O)O,850000.0,CHEMBL77595
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c(O)c1,2500.0,CHEMBL309334
N#CC(C#N)=Cc1ccc[nH]1,260000.0,CHEMBL310514
Cc1c(C(=O)N2CCN(C)CC2)c[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,410.0,CHEMBL304971
Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,5.9,CHEMBL69071
CN(C)CC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,38.0,CHEMBL137534
C/N=N/Nc1ccc2ncnc(NCc3ccccc3)c2c1,335.0,CHEMBL137788
Cc1cc(C)c(/C=C2\C(=O)N(C)c3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,20000.0,CHEMBL69709
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,25.0,CHEMBL424093
N#C/C(=C\c1ccc(O)c(O)c1)C(N)=S,2400.0,CHEMBL77030
CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O,460000.0,CHEMBL78150
O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc[nH]1,20000.0,CHEMBL69106
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,1.1,CHEMBL264382
O=C(O)C(=Cc1ccc(O)cc1)C(=O)O,1500000.0,CHEMBL308133
COc1cc(C=C(C#N)C#N)cc([N+](=O)[O-])c1O,160000.0,CHEMBL307179
Cc1[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c(C)c1CCC(=O)O,180.0,CHEMBL305782
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,450.0,CHEMBL308672
Cc1cccc(Nc2ncnc3ccc(/N=N/N(C)C)cc23)c1,24.0,CHEMBL133023
N#CC(C#N)=Cc1cccc(O)c1,375000.0,CHEMBL310400
COCC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,71.0,CHEMBL136674
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)O,25000.0,CHEMBL73820
N#CC(C#N)=C(O)c1ccc(O)cc1,230000.0,CHEMBL79064
N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(Br)c1,500.0,CHEMBL77803
N#C/C=C/c1ccc(O)cc1,2400000.0,CHEMBL75718
COc1cc(C=C(C#N)C#N)cc(Br)c1O,153000.0,CHEMBL77298
COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)c1,8880.0,CHEMBL432941
COc1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,100000.0,CHEMBL420609
COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)c1,100000.0,CHEMBL419682
COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CN5CCOCC5)cc4)ccc23)c(Cl)cc1Cl,3000.0,CHEMBL322395
COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,100000.0,CHEMBL88462
O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(C(=O)O)cc32)[nH]c2c1CCCC2,56500.0,CHEMBL431996
COc1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,100000.0,CHEMBL91250
O=C(O)CCc1c(/C=C2\C(=O)Nc3cc(-c4ccccc4)ccc32)[nH]c2c1CCCC2,100000.0,CHEMBL88771
COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)cc1,100000.0,CHEMBL91815
O=C1Nc2ccccc2/C1=C/c1cc2c([nH]1)CCCC2,100000.0,CHEMBL328029
O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(Br)cc32)[nH]c2c1CCCC2,100000.0,CHEMBL314995
NS(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2,100000.0,CHEMBL88483
O=C1Nc2cc(-c3ccccc3)ccc2/C1=C/c1cc2c([nH]1)CCCC2,100000.0,CHEMBL313746
Cc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1CCC(=O)O,100000.0,CHEMBL89363
Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,100000.0,CHEMBL276711
COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)cc1,100000.0,CHEMBL313500
O=C1Nc2ccc(C(=O)O)cc2/C1=C/c1cc2c([nH]1)CCCC2,100000.0,CHEMBL89010
NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCC(=O)O)CCCC3)C(=O)N2,29100.0,CHEMBL86531
O=C(O)CCc1c(/C=C2\C(=O)Nc3ccccc32)[nH]c2c1CCCC2,100000.0,CHEMBL315753
O=C1Nc2ccc(Br)cc2/C1=C/c1cc2c([nH]1)CCCC2,100000.0,CHEMBL88606
COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,100000.0,CHEMBL313821
O=C1NC(=O)c2cc(NC3CCCCC3)c(NC3CCCCC3)cc21,50000.0,CHEMBL266969
C=CC(=O)N(CCN(C)C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,4.2,CHEMBL138691
O=C1c2cc(Nc3ccccc3)c(Nc3ccccc3)cc2C(=O)N1c1ccccc1,100000.0,CHEMBL8000
C=CC(=O)N(CCCN1CCOCC1)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,3.3,CHEMBL139307
CCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)nc21,200.0,CHEMBL322298
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(Br)c3)nc21,670.0,CHEMBL111434
COc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,30.0,CHEMBL111197
